group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_bennettj,usage,0,0,0,0,0,0,11089.3,28748.5,4754.73,27757.4,31469.5,144.429,0.00555556,3744.32,473.907,32.4261,0.307222,5388.25,2245.36,1500.63,110.737,147.232,1074.04,122.753,0.452222,626.856,1040.78,2.35556,6579.09,10070.5,3648.12,3981.48,1469.23,1879.02
cybertrn,usage,0,0.3275,26.5883,421.051,3913.79,3415.21,2298.64,0.175278,13.4508,17.0775,0.00111111,0,23.4572,223.182,108.622,116.827,247.641,2.91972,0,0,0,0,0,0.0872222,0,0.0872222,0,0.00111111,0.0288889,76.9383,0,0,0.00277778,0.0172222
pi_adali,usage,0,53.0425,25146.6,11153.4,20956.5,11094.8,1249.24,969.013,116.307,200.627,169.707,0.204444,0,0,0,0,158.813,259.356,5178.2,1162.65,0.257778,0,2477.1,21898.9,1036.04,8650.03,8361.65,6651.65,7505.1,7410.91,2788.18,0,0,0
pi_ataca,usage,0,10176.5,41160.7,64267,35955.9,74509.5,52501.5,12643.9,3211.64,27329.4,26103.5,90315.7,3275.02,23510.4,200.413,6257.36,96314.7,31607.7,35903.1,7780.09,21298.6,332.338,16.8,865.44,0,14.0889,0,580.867,0.622222,37026.3,966.858,998.196,1613.36,1280.62
pi_boot,usage,0,0,0,0,0,0,0,0,0,0,1228.99,176.191,0,0,4434.36,0,0,0,0,0,0.513333,0,0.991111,0,0,0,0,0,0,0,0,0,0,0
pi_bpeercy,usage,0,0,84.7022,77.0697,0,5.48083,25.9564,51.2022,969.846,36.7664,0,1.40889,0,18.7822,0,0,0,0,0,0,0.0133333,0.00111111,0.395278,0,0,0,0,0,0,0,0,1.26222,0,0
pi_donengel,usage,0,0,4.005,1257.43,983.504,2.63361,1.32444,0.358889,4.00361,0.215833,0,294.142,0.0827778,0.188889,1321.92,0,0,0,0,0,1.45389,0,39.0469,0,0,0,0,0,0,0,0,0,0,0
pi_ferraro,usage,0,423.263,509.329,25049.7,21701.6,79.2797,953.97,5.89167,685.326,984.749,6235.29,4947.25,2798.6,430.113,4010.72,2538.36,404.766,3388.5,1369.72,2.99306,697.861,1266.89,1.71556,107.002,91.1169,246.374,26826.3,800.612,2.70833,0,13345.4,14738.6,23738.8,21321.7
pi_gobbert,usage,0,0.133333,2162.48,2.40083,0,0,488.404,49.2761,0.175556,4.13806,9.83667,0,0,0,3197.99,1.26167,0,0,39.3689,0,0,0,0,0,0,1536.16,1984.73,3.44083,0.15,0.00777778,0,0,0,0
pi_jameslo,usage,0,0,25.3994,119.208,211.133,0,1.415,0,0,0,0,0,0,0,0,0,269.229,52.1281,175.246,64.9336,65.8897,93.0581,49.8325,134.808,0,186.066,16.2928,223.16,67.0069,0,0,0,0,0
pi_jianwu,usage,0,124.964,239.715,0,139.74,275.103,11925.5,0,3923.29,9920.81,1.14639,0,0.909722,45.8489,0.0266667,0,0,0,0.453889,10.9906,4.29306,0,27.4758,0,1.52694,0,220.129,1.57028,0,159.405,0,347.998,0,55.7278
pi_mbaker,usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97111,3.13889,2.02667,0.00944444,0,0,0,0,0,0,0,0.0238889,0.494722,0,0.727778,52.8667,55.3208,0,0
pi_menyuk,usage,0,0,633.103,0,0,0,1939.68,0,0,0,0,0,0,0,5875.1,0,0,16.6869,0,0,0,4.63167,379.206,0,0.586111,938.092,0,843.944,0,1.12583,0,33.4675,0,0
pi_mkann,usage,0,0,0.695556,29.5594,0,177.371,0,0,0,0,0,0,13.4667,0,0,0.0266667,0,0,29.0317,1.58917,17.6072,17.4947,1.29278,0,0,0,0,0,0,0,0,0,0,0
total,usage,0,10229.87,66333.8883,75841.451,60826.19,89019.51,67138.68,42361.58828,8096.1278,55304.5045,58971.69811,90636.52444,3298.482756,27477.902,5217.302,6406.6131,96721.46122,37258.22572,43326.66,10443.37,21410.10811,479.57,3568.931111,22887.18022,1036.492222,9291.062122,9402.43,7234.873671,14084.84111,54584.6483,7403.158,4979.676,3082.592778,3159.657222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
